loss,accuracy,val_loss,val_accuracy
0.6922188997268677,0.5251500010490417,0.6897792816162109,0.6223999857902527
0.6831539869308472,0.6412500143051147,0.6729359030723572,0.6517999768257141
0.6470384001731873,0.7282999753952026,0.6162164211273193,0.7337999939918518
0.5536273717880249,0.7854999899864197,0.5200456380844116,0.7817999720573425
0.43179193139076233,0.8309000134468079,0.4479747414588928,0.7991999983787537
0.34330540895462036,0.862500011920929,0.41561275720596313,0.8144000172615051
0.2880357801914215,0.8839499950408936,0.4082513153553009,0.8234000205993652
0.2471936047077179,0.9024999737739563,0.40780553221702576,0.8274000287055969
0.21248933672904968,0.9208999872207642,0.4208126366138458,0.823199987411499
0.18443170189857483,0.9327499866485596,0.4378601908683777,0.8227999806404114
0.16593530774116516,0.9397500157356262,0.4558570384979248,0.819599986076355
0.14322537183761597,0.95169997215271,0.4787851572036743,0.8184000253677368
0.12420856952667236,0.9601500034332275,0.5007181167602539,0.8158000111579895
